Date;predicted_mean
2020-10-27;152.50241921635376
2020-10-28;221.59075100686067
2020-10-29;256.26062029215564
2020-10-30;269.1687116441051
2020-10-31;272.3288354762003
2020-11-01;272.2894267699957
2020-11-02;271.6790432780587
2020-11-03;271.2353064510562
2020-11-04;271.0197213601577
2020-11-05;270.9420549591957
2020-11-06;270.9243249044966
2020-11-07;270.92551072967444
2020-11-08;270.92964811057084
2020-11-09;270.93248692171505
2020-11-10;270.9338233740802
2020-11-11;270.9342886554955
2020-11-12;270.93438660744835
2020-11-13;270.9343733970222
2020-11-14;270.9343456193544
2020-11-15;270.93432752555094
2020-11-16;270.9343192661958
2020-11-17;270.93431649185464
2020-11-18;270.93431596122304
2020-11-19;270.9343160794688
2020-11-20;270.93431626443856
2020-11-21;270.93431637935475
2020-11-22;270.93431643023837
2020-11-23;270.9343164466966
2020-11-24;270.93431644949743
2020-11-25;270.93431644853956
2020-11-26;270.93431644731663
2020-11-27;270.93431644658926
2020-11-28;270.9343164462768
2020-11-29;270.9343164461797
2020-11-30;270.93431644616544
2020-12-01;270.9343164461728
2020-12-02;270.9343164461808
2020-12-03;270.9343164461854
2020-12-04;270.9343164461873
2020-12-05;270.9343164461879
2020-12-06;270.93431644618795
2020-12-07;270.9343164461879
2020-12-08;270.93431644618784
2020-12-09;270.9343164461878
2020-12-10;270.9343164461878
2020-12-11;270.9343164461878
2020-12-12;270.9343164461878
2020-12-13;270.9343164461878
2020-12-14;270.9343164461878
2020-12-15;270.9343164461878
2020-12-16;270.9343164461878
2020-12-17;270.9343164461878
2020-12-18;270.9343164461878
2020-12-19;270.9343164461878
2020-12-20;270.9343164461878
2020-12-21;270.9343164461878
